
--- stderr ---
import time: self [us] | cumulative | imported package
import time:       327 |       2295 |       pathlib
import time:       250 |        250 |           binascii
import time:        75 |         75 |             importlib
import time:        93 |         93 |             importlib._abc
import time:        48 |        215 |           importlib.util
import time:       218 |        218 |             zlib
import time:        89 |         89 |               _compression
import time:       207 |        207 |               _bz2
import time:        99 |        394 |             bz2
import time:       392 |        392 |               _lzma
import time:       103 |        494 |             lzma
import time:       253 |       1357 |           shutil
import time:       258 |        258 |             _struct
import time:        66 |        324 |           struct
import time:        88 |         88 |             _weakrefset
import time:       266 |        354 |           threading
import time:       245 |        245 |             contextlib
import time:        77 |         77 |             zipfile._path.glob
import time:       160 |        481 |           zipfile._path
import time:       309 |       3287 |         zipfile
import time:       105 |        105 |         base64
import time:       320 |        320 |         textwrap
import time:        73 |         73 |           collections.abc
import time:        77 |         77 |               token
import time:        13 |         13 |               _tokenize
import time:       330 |        418 |             tokenize
import time:        70 |        488 |           linecache
import time:       219 |        779 |         traceback
import time:       228 |        228 |               _bisect
import time:        59 |        287 |             bisect
import time:       247 |        247 |             _random
import time:       266 |        266 |             _sha2
import time:       198 |        996 |           random
import time:       164 |        164 |           weakref
import time:       179 |       1338 |         tempfile
import time:        11 |         11 |           _typing
import time:       888 |        898 |         typing
import time:        26 |         26 |           importlib.machinery
import time:       119 |        119 |           encodings.cp437
import time:        47 |         47 |           shibokensupport
import time:        50 |         50 |           shibokensupport.signature
import time:        24 |         24 |                   _ast
import time:       497 |        520 |                 ast
import time:       295 |        295 |                     _opcode
import time:       187 |        482 |                   opcode
import time:       345 |        826 |                 dis
import time:       714 |       2060 |               inspect
import time:       376 |       2436 |             shibokensupport.feature
import time:      1935 |       1935 |             shibokensupport.signature.mapping
import time:       465 |        465 |             shibokensupport.signature.errorhandler
import time:        37 |         37 |                   shibokensupport.signature.lib
import time:       242 |        278 |                 shibokensupport.signature.lib.tool
import time:      3175 |       3453 |               shibokensupport.signature.parser
import time:      1000 |       4452 |             shibokensupport.signature.layout
import time:       195 |        195 |               PySide6.support
import time:        93 |         93 |               PySide6.support.deprecated
import time:       116 |        404 |             shibokensupport.signature.importhandler
import time:      1003 |       1003 |             shibokensupport.signature.lib.enum_sig
import time:       279 |        279 |                 gettext
import time:       445 |        724 |               argparse
import time:        13 |         13 |                   _string
import time:       213 |        225 |                 string
import time:        55 |         55 |                 atexit
import time:       602 |        881 |               logging
import time:      4338 |       5942 |             shibokensupport.signature.lib.pyi_generator
import time:       361 |      16994 |           shibokensupport.signature.loader
import time:      2081 |      19315 |         shiboken6.Shiboken
import time:        95 |      26134 |       shiboken6
import time:       220 |      28647 |     PySide6
import time:     10580 |      39227 |   PySide6.QtCore
import time:      3748 |       3748 |   PySide6.QtGui
import time:      3475 |       3475 |   PySide6.QtWidgets
import time:       422 |        422 |         _csv
import time:       265 |        687 |       csv
import time:        85 |         85 |       email
import time:        83 |         83 |           quopri
import time:       563 |        563 |               _socket
import time:       446 |        446 |                 select
import time:       312 |        757 |               selectors
import time:       446 |        446 |               array
import time:       545 |       2309 |             socket
import time:       476 |        476 |               _datetime
import time:        77 |        552 |             datetime
import time:        36 |         36 |                   _locale
import time:       627 |        662 |                 locale
import time:       837 |       1498 |               calendar
import time:       202 |       1700 |             email._parseaddr
import time:       134 |        134 |               email.base64mime
import time:       150 |        150 |               email.quoprimime
import time:       249 |        249 |               email.errors
import time:        60 |         60 |               email.encoders
import time:       290 |        881 |             email.charset
import time:      1135 |       6574 |           email.utils
import time:       415 |        415 |             email.header
import time:       328 |        743 |           email._policybase
import time:       133 |        133 |           email._encoded_words
import time:        69 |         69 |           email.iterators
import time:      1048 |       8649 |         email.message
import time:        57 |         57 |           importlib.metadata._functools
import time:       234 |        291 |         importlib.metadata._text
import time:       286 |       9225 |       importlib.metadata._adapters
import time:       481 |        481 |       importlib.metadata._meta
import time:       119 |        119 |       importlib.metadata._collections
import time:        57 |         57 |       importlib.metadata._itertools
import time:       153 |        153 |             importlib.resources.abc
import time:       155 |        155 |             importlib.resources._adapters
import time:       774 |       1081 |           importlib.resources._common
import time:        76 |         76 |           importlib.resources._legacy
import time:       178 |       1334 |         importlib.resources
import time:      1045 |       2379 |       importlib.abc
import time:      3238 |      16267 |     importlib.metadata
import time:       193 |        193 |       email.feedparser
import time:       167 |        360 |     email.parser
import time:        30 |         30 |         _wmi
import time:       224 |        253 |       platform
import time:        81 |         81 |         packaging
import time:       787 |        867 |       packaging.version
import time:      2610 |       2610 |         PySide6.QtDataVisualization
import time:       219 |       2829 |       qtpy.QtDataVisualization
import time:       482 |       4430 |     qtpy
import time:        67 |         67 |       qtpy._utils
import time:      5936 |       6003 |     qtpy.QtCore
import time:        92 |         92 |         numpy.version
import time:        64 |         64 |         numpy._expired_attrs_2_0
import time:        76 |         76 |             numpy._utils._convertions
import time:        97 |        172 |           numpy._utils
import time:       143 |        314 |         numpy._globals
import time:        11 |         11 |           numpy._distributor_init_local
import time:        57 |         68 |         numpy._distributor_init
import time:       105 |        105 |                   numpy.exceptions
import time:       112 |        112 |                   numpy._core._exceptions
import time:       465 |        465 |                       _contextvars
import time:        66 |        531 |                     contextvars
import time:        84 |        614 |                   numpy._core.printoptions
import time:        48 |         48 |                   numpy.dtypes
import time:      2534 |       3411 |                 numpy._core._multiarray_umath
import time:        68 |         68 |                   numpy._utils._inspect
import time:       174 |        241 |                 numpy._core.overrides
import time:       735 |       4387 |               numpy._core.multiarray
import time:        87 |         87 |               numpy._core.umath
import time:       177 |        177 |                 numbers
import time:        75 |         75 |                 numpy._core._dtype
import time:        61 |         61 |                 numpy._core._string_helpers
import time:       118 |        118 |                 numpy._core._type_aliases
import time:       466 |        896 |               numpy._core.numerictypes
import time:       108 |        108 |                           _compat_pickle
import time:       632 |        632 |                           _pickle
import time:       564 |       1303 |                         pickle
import time:       246 |       1548 |                       numpy._core._methods
import time:       304 |       1852 |                     numpy._core.fromnumeric
import time:       125 |       1976 |                   numpy._core.shape_base
import time:       126 |        126 |                   numpy._core._ufunc_config
import time:        62 |         62 |                   numpy._core._asarray
import time:       723 |        723 |                   numpy._core.arrayprint
import time:       646 |       3530 |                 numpy._core.numeric
import time:       139 |       3669 |               numpy._core.einsumfunc
import time:       107 |        107 |               numpy._core.function_base
import time:       153 |        153 |               numpy._core.getlimits
import time:        80 |         80 |               numpy._core.memmap
import time:       128 |        128 |               numpy._core.records
import time:      2355 |       2355 |               numpy._core._add_newdocs
import time:       304 |        304 |               numpy._core._add_newdocs_scalars
import time:        70 |         70 |               numpy._core._dtype_ctypes
import time:       656 |        656 |                   _ctypes
import time:       203 |        203 |                   ctypes._endian
import time:       438 |       1296 |                 ctypes
import time:       428 |       1723 |               numpy._core._internal
import time:        99 |         99 |               numpy._pytesttester
import time:       821 |      14874 |             numpy._core
import time:        10 |      14883 |           numpy._core._multiarray_umath
import time:       138 |      15021 |         numpy.__config__
import time:        95 |         95 |                           numpy._typing._nbit_base
import time:       143 |        143 |                           numpy._typing._nested_sequence
import time:        49 |         49 |                           numpy._typing._shape
import time:       761 |       1046 |                         numpy._typing._array_like
import time:       843 |        843 |                         numpy._typing._char_codes
import time:       691 |        691 |                         numpy._typing._dtype_like
import time:        54 |         54 |                         numpy._typing._nbit
import time:        55 |         55 |                         numpy._typing._scalars
import time:        47 |         47 |                         numpy._typing._ufunc
import time:       346 |       3080 |                       numpy._typing
import time:        94 |         94 |                         numpy.lib._stride_tricks_impl
import time:       195 |        288 |                       numpy.lib._twodim_base_impl
import time:        49 |         49 |                         numpy.lib._array_utils_impl
import time:        90 |        139 |                       numpy.lib.array_utils
import time:       780 |        780 |                       numpy.linalg._umath_linalg
import time:       742 |       5026 |                     numpy.linalg._linalg
import time:       317 |       5343 |                   numpy.linalg
import time:       133 |       5476 |                 numpy.matrixlib.defmatrix
import time:       186 |       5662 |               numpy.matrixlib
import time:       110 |        110 |                 numpy.lib._histograms_impl
import time:       514 |        623 |               numpy.lib._function_base_impl
import time:       546 |       6830 |             numpy.lib._index_tricks_impl
import time:       244 |       7074 |           numpy.lib._arraypad_impl
import time:       303 |        303 |           numpy.lib._arraysetops_impl
import time:        77 |         77 |           numpy.lib._arrayterator_impl
import time:       201 |        201 |           numpy.lib._nanfunctions_impl
import time:        96 |         96 |                 numpy.lib._utils_impl
import time:       187 |        283 |               numpy.lib._format_impl
import time:       150 |        433 |             numpy.lib.format
import time:       144 |        144 |             numpy.lib._datasource
import time:       145 |        145 |             numpy.lib._iotools
import time:       407 |       1127 |           numpy.lib._npyio_impl
import time:        78 |         78 |               numpy.lib._ufunclike_impl
import time:       152 |        229 |             numpy.lib._type_check_impl
import time:       275 |        503 |           numpy.lib._polynomial_impl
import time:       194 |        194 |           numpy.lib._shape_base_impl
import time:        69 |         69 |           numpy.lib._version
import time:        54 |         54 |           numpy.lib.introspect
import time:        77 |         77 |           numpy.lib.mixins
import time:       246 |        246 |           numpy.lib.npyio
import time:        94 |         94 |             numpy.lib._scimath_impl
import time:       121 |        215 |           numpy.lib.scimath
import time:        51 |         51 |           numpy.lib.stride_tricks
import time:       241 |      10427 |         numpy.lib
import time:        66 |         66 |         numpy._array_api_info
import time:      1480 |      27528 |       numpy
import time:       816 |        816 |             typing_extensions
import time:        58 |         58 |             pyvista._version
import time:        55 |         55 |             pyvista._warn_external
import time:       485 |       1413 |           pyvista._deprecate_positional_args
import time:       246 |       1658 |         pyvista._plot
import time:       283 |        283 |               pyvista._vtk
import time:       169 |        169 |                   numpy._typing._add_docstring
import time:       108 |        276 |                 numpy.typing
import time:       257 |        533 |               pyvista.core._typing_core._array_like
import time:      7258 |       7258 |               vtkmodules.vtkCommonCore
import time:        55 |         55 |               vtkmodules.numpy_interface
import time:        67 |         67 |                   vtkmodules.util.vtkConstants
import time:       128 |        195 |                 vtkmodules.util.numpy_support
import time:      1338 |       1532 |               vtkmodules.numpy_interface.dataset_adapter
import time:      1389 |       1389 |                   vtkmodules.vtkCommonSystem
import time:      5478 |       6867 |                 vtkmodules.vtkParallelCore
import time:       125 |       6991 |               vtkmodules.util.pickle_support
import time:     24475 |      41124 |             pyvista.core._typing_core._aliases
import time:       111 |        111 |             pyvista.core._typing_core._dataset_types
import time:       210 |      41444 |           pyvista.core._typing_core
import time:        99 |         99 |               pyvista.core.config
import time:       249 |        347 |             pyvista.core._vtk_utilities
import time:      1610 |       1610 |             pyvista.core.celltype
import time:        52 |         52 |                 pyvista.typing
import time:       141 |        192 |               pyvista.typing.mypy_plugin
import time:       103 |        103 |                 copy
import time:       273 |        273 |                       pyvista.core.utilities.accessor_registry
import time:       886 |        886 |                               _json
import time:       194 |       1080 |                             json.scanner
import time:       247 |       1326 |                           json.decoder
import time:       167 |        167 |                           json.encoder
import time:      1435 |       2927 |                         json
import time:       165 |        165 |                         pyvista.core.errors
import time:       349 |       3440 |                       pyvista.core.utilities.arrays
import time:       106 |        106 |                       pyvista.core.utilities.cells
import time:        63 |         63 |                               pyvista.core._validation._cast_array
import time:       279 |        341 |                             pyvista.core._validation.check
import time:       163 |        163 |                             pyvista.core._validation.validate
import time:       309 |        812 |                           pyvista.core._validation
import time:       458 |        458 |                             pyvista.core.utilities.misc
import time:       183 |        640 |                           pyvista.core.utilities.transformations
import time:       220 |        220 |                               signal
import time:       295 |        515 |                             pyvista.core.utilities.observers
import time:       513 |       1028 |                           pyvista.core.utilities.fileio
import time:       429 |       2908 |                         pyvista.core.utilities.helpers
import time:       219 |       3127 |                       pyvista.core.utilities.features
import time:      7463 |       7463 |                         pyvista.core.utilities.geometric_sources
import time:       686 |       8148 |                       pyvista.core.utilities.geometric_objects
import time:      2587 |       2587 |                       pyvista.core.utilities.image_sources
import time:       122 |        122 |                             shlex
import time:      2105 |       2105 |                                 _hashlib
import time:      1021 |       1021 |                                 _blake2
import time:       130 |       3254 |                               hashlib
import time:        31 |         31 |                               xxhash
import time:       131 |       3416 |                             pooch.hashes
import time:       136 |        136 |                                 platformdirs.api
import time:        48 |         48 |                                 platformdirs.version
import time:        83 |         83 |                                   platformdirs._xdg
import time:       148 |        230 |                                 platformdirs.macos
import time:       316 |        729 |                               platformdirs
import time:       156 |        156 |                               pooch.typing
import time:       261 |       1145 |                             pooch.utils
import time:      1666 |       1666 |                                   _ssl
import time:       827 |       2492 |                                 ssl
import time:       323 |       2815 |                               ftplib
import time:        56 |         56 |                               pooch._version
import time:        30 |         30 |                                 tqdm
import time:         7 |         36 |                               tqdm.auto
import time:        32 |         32 |                               paramiko
import time:       318 |       3256 |                             pooch.downloaders
import time:       487 |       8424 |                           pooch.core
import time:       224 |        224 |                             gzip
import time:        19 |         19 |                               pwd
import time:      1054 |       1054 |                               grp
import time:       570 |       1643 |                             tarfile
import time:       534 |       2400 |                           pooch.processors
import time:       301 |      11124 |                         pooch
import time:        65 |         65 |                         pyvista.core.utilities._registry_helpers
import time:       253 |        253 |                           dataclasses
import time:        68 |         68 |                             xml
import time:        91 |        158 |                           xml.etree
import time:       195 |        195 |                             xml.etree.ElementPath
import time:      1148 |       1148 |                               pyexpat
import time:      1152 |       2300 |                             _elementtree
import time:       382 |       2877 |                           xml.etree.ElementTree
import time:       804 |        804 |                           pyvista.core.utilities._frd
import time:      2047 |       6137 |                         pyvista.core.utilities.reader
import time:       726 |      18049 |                       pyvista.core.utilities.reader_registry
import time:       206 |        206 |                       pyvista.core.utilities.writer_registry
import time:        15 |         15 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:        12 |         12 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:        10 |         10 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:        10 |         10 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         7 |          7 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         9 |          9 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
import time:         8 |          8 |                         pyvista._ALLOW_NEW_ATTRIBUTES_MODE
